Provider,Region,UTC,Batch,OCR,File,Time
GCP,australia-southeast1,Midday,4,False,image_full.png,1.795844937
GCP,australia-southeast1,Midday,5,True,image_full.png,1.138962965
GCP,australia-southeast1,Midday,5,False,image_full.png,2.057082251
AWS,us-east-1,Midday,1,True,image_ping.png,0.719672813
AWS,us-east-1,Midday,1,False,image_ping.png,0.1261112
AWS,us-east-1,Midday,1,True,image_full.png,0.434247137
AWS,us-east-1,Midday,1,False,image_full.png,1.338115766
AWS,us-east-1,Midday,2,True,image_ping.png,0.190987476
AWS,us-east-1,Midday,2,False,image_ping.png,0.010449121
AWS,us-east-1,Midday,2,True,image_full.png,0.369891092
AWS,us-east-1,Midday,2,False,image_full.png,0.785986047
AWS,us-east-1,Midday,3,True,image_ping.png,0.219839982
AWS,us-east-1,Midday,3,False,image_ping.png,0.016935595
AWS,us-east-1,Midday,3,True,image_full.png,0.374581558
AWS,us-east-1,Midday,3,False,image_full.png,0.546287916
AWS,us-east-1,Midday,4,True,image_ping.png,0.252200543
AWS,us-east-1,Midday,4,False,image_ping.png,0.02175457
AWS,us-east-1,Midday,4,True,image_full.png,0.50853444
AWS,us-east-1,Midday,4,False,image_full.png,0.978004894
AWS,us-east-1,Midday,5,True,image_ping.png,0.199058752
AWS,us-east-1,Midday,5,False,image_ping.png,0.018197953
AWS,us-east-2,Midday,1,True,image_ping.png,0.678842055
AWS,us-east-2,Midday,1,False,image_ping.png,0.15894594
AWS,us-east-1,Midday,5,True,image_full.png,0.514522546
AWS,us-east-2,Midday,1,True,image_full.png,0.787867604
AWS,us-east-2,Midday,1,False,image_full.png,0.683271668
AWS,us-east-1,Midday,5,False,image_full.png,0.686159623
AWS,us-east-2,Midday,2,True,image_ping.png,0.209709082
AWS,us-east-2,Midday,2,False,image_ping.png,0.009769176
AWS,us-east-2,Midday,2,True,image_full.png,0.387250973
AWS,us-east-2,Midday,2,False,image_full.png,0.649410751
AWS,us-east-2,Midday,3,True,image_ping.png,0.239265707
AWS,us-east-2,Midday,3,False,image_ping.png,0.018423732
AWS,us-east-2,Midday,3,True,image_full.png,0.291940129
AWS,us-east-2,Midday,3,False,image_full.png,0.527154919
AWS,us-east-2,Midday,4,True,image_ping.png,0.190256666
AWS,us-east-2,Midday,4,False,image_ping.png,0.008600515
AWS,us-east-2,Midday,4,True,image_full.png,0.289953476
AWS,us-east-2,Midday,4,False,image_full.png,0.610502186
AWS,us-east-2,Midday,5,True,image_ping.png,0.320855931
AWS,us-east-2,Midday,5,False,image_ping.png,0.008570605
AWS,us-east-2,Midday,5,True,image_full.png,0.418876832
AWS,us-east-2,Midday,5,False,image_full.png,0.708631443
AWS,us-west-1,Midday,1,True,image_ping.png,0.758220539
AWS,us-west-1,Midday,1,False,image_ping.png,0.219672591
AWS,us-west-1,Midday,1,True,image_full.png,0.738266802
AWS,us-west-1,Midday,1,False,image_full.png,0.701255386
AWS,us-west-1,Midday,2,True,image_ping.png,0.215398466
AWS,us-west-1,Midday,2,False,image_ping.png,0.011374857
AWS,us-west-1,Midday,2,True,image_full.png,0.408966136
AWS,us-west-1,Midday,2,False,image_full.png,0.702384909
AWS,us-west-1,Midday,3,True,image_ping.png,0.280452795
AWS,us-west-1,Midday,3,False,image_ping.png,0.016918677
AWS,us-west-1,Midday,3,True,image_full.png,0.33231573
AWS,us-west-1,Midday,3,False,image_full.png,0.569135425
AWS,us-west-1,Midday,4,True,image_ping.png,0.23621273
AWS,us-west-1,Midday,4,False,image_ping.png,0.010605738
AWS,us-west-1,Midday,4,True,image_full.png,0.358175224
AWS,us-west-1,Midday,4,False,image_full.png,0.651199035
AWS,us-west-1,Midday,5,True,image_ping.png,0.199743331
AWS,us-west-1,Midday,5,False,image_ping.png,0.010882699
AWS,us-west-1,Midday,5,True,image_full.png,0.650314429
AWS,us-west-2,Midday,1,True,image_ping.png,0.514233328
AWS,us-west-2,Midday,1,False,image_ping.png,0.200914116
AWS,us-west-1,Midday,5,False,image_full.png,0.618609257
AWS,us-west-2,Midday,1,True,image_full.png,0.537616016
AWS,us-west-2,Midday,1,False,image_full.png,0.92157913
AWS,us-west-2,Midday,2,True,image_ping.png,0.23410128
AWS,us-west-2,Midday,2,False,image_ping.png,0.013025396
AWS,us-west-2,Midday,2,True,image_full.png,0.375537978
AWS,us-west-2,Midday,2,False,image_full.png,0.776586501
AWS,us-west-2,Midday,3,True,image_ping.png,0.234117557
AWS,us-west-2,Midday,3,False,image_ping.png,0.012205388
AWS,us-west-2,Midday,3,True,image_full.png,0.374071198
AWS,us-west-2,Midday,3,False,image_full.png,0.656754189
AWS,us-west-2,Midday,4,True,image_ping.png,0.194114277
AWS,us-west-2,Midday,4,False,image_ping.png,0.012909793
